profile_id,archetype,seed,raw_hv_pi,raw_hv_can,raw_hv_nsga2
TIME_0012,time_sensitive,0,1.336354159656558e-06,1.3364310638184894e-06,1.4508954727147269e-06
TIME_0012,time_sensitive,1,6.214814523154776e-07,6.710483088702706e-07,6.93824607467387e-07
TIME_0012,time_sensitive,2,1.253046210925355e-06,1.2870644984591519e-06,1.3547761291595245e-06
TIME_0012,time_sensitive,3,1.036965717425763e-06,1.0590933911602332e-06,1.1213164633219952e-06
TIME_0012,time_sensitive,4,1.3308810837696719e-06,1.320967455150213e-06,1.3912563144401603e-06
TIME_0013,time_sensitive,0,5.0999687456450724e-05,5.478018943172335e-05,5.7629901736254954e-05
TIME_0013,time_sensitive,1,0.00015495799307194746,0.00016224407032707319,0.0001684535508325066
TIME_0013,time_sensitive,2,0.0002024026365248623,0.00019838792275805514,0.00020491328007644035
TIME_0013,time_sensitive,3,4.919757322052093e-05,5.272441167827966e-05,5.414431913287344e-05
TIME_0013,time_sensitive,4,0.00015159685044925197,0.00014941426938406692,0.00015499393507413013
TIME_0014,time_sensitive,0,3.1182274359586627e-06,3.0972204230372862e-06,3.27336318525345e-06
TIME_0014,time_sensitive,1,1.847226914322463e-06,1.8417839525689303e-06,1.949806333126912e-06
TIME_0014,time_sensitive,2,2.4208322824250307e-06,2.461864633749254e-06,2.6057116297829634e-06
TIME_0014,time_sensitive,3,1.9191301104761754e-06,1.99912469626224e-06,2.043666477062322e-06
TIME_0014,time_sensitive,4,2.318627971850436e-06,2.2944885360884037e-06,2.4090102753718655e-06
COMF_0015,comfort_seeker,0,8.365847092272917e-06,8.00110603283781e-06,8.721111465090877e-06
COMF_0015,comfort_seeker,1,1.251070481849523e-05,1.2215402900834895e-05,1.314684531621556e-05
COMF_0015,comfort_seeker,2,1.432531858068869e-05,1.3278472111445878e-05,1.4764745885346654e-05
COMF_0015,comfort_seeker,3,1.360064703724144e-05,1.3280444271759318e-05,1.4176713948849863e-05
COMF_0015,comfort_seeker,4,1.7741953028578507e-05,1.6837446162254936e-05,1.798238106162059e-05
COMF_0016,comfort_seeker,0,7.241692695931162e-06,7.675633195292118e-06,7.812217866235956e-06
COMF_0016,comfort_seeker,1,7.873847778721511e-06,8.07337539967331e-06,8.743264779160698e-06
COMF_0016,comfort_seeker,2,6.064985187301904e-06,6.193512081258449e-06,6.311497398076776e-06
COMF_0016,comfort_seeker,3,8.387121443801023e-06,7.70632581308294e-06,8.385543809115027e-06
COMF_0016,comfort_seeker,4,7.980376936862263e-06,8.235379722887423e-06,8.741481982500025e-06
COMF_0017,comfort_seeker,0,1.0527362857327448e-05,1.029695743314776e-05,1.1068847365443348e-05
COMF_0017,comfort_seeker,1,6.555634905968359e-06,6.6036819149089996e-06,7.256332605045074e-06
COMF_0017,comfort_seeker,2,8.143539964010009e-06,8.02904154746929e-06,9.155652989122056e-06
COMF_0017,comfort_seeker,3,8.789879040737382e-06,9.03762966659415e-06,9.470918444035224e-06
COMF_0017,comfort_seeker,4,8.260682123485817e-06,8.24899406969362e-06,8.797528910588238e-06
COMF_0018,comfort_seeker,0,1.1071804754313957e-05,1.0473868085106498e-05,1.1679795592387422e-05
COMF_0018,comfort_seeker,1,1.3456440210805011e-05,1.287982349343445e-05,1.3049256207854313e-05
COMF_0018,comfort_seeker,3,7.868470545917922e-06,7.760855419300478e-06,8.265974625550595e-06
COMF_0018,comfort_seeker,2,9.176554769148429e-06,9.72752954344686e-06,1.0422517197839605e-05
COMF_0018,comfort_seeker,4,1.1920025518870123e-05,1.1848847327227313e-05,1.2358103156551881e-05
COMF_0019,comfort_seeker,0,7.211872125113535e-07,7.403828713583011e-07,7.492780033418734e-07
COMF_0019,comfort_seeker,1,4.195695790168355e-07,4.0872912160452267e-07,4.538729789541226e-07
COMF_0019,comfort_seeker,3,6.009927001472933e-07,6.234317612003958e-07,6.441327986603353e-07
COMF_0019,comfort_seeker,2,5.443715333862697e-07,5.739971254972319e-07,6.084496351580907e-07
COMF_0019,comfort_seeker,4,3.2093356938592174e-07,3.222576990366813e-07,3.5700854313833006e-07
