profile_id,archetype,seed,algorithm,raw_hv,nHV
COST_0006,cost_sensitive,2,NSGA-II,0.0009866902036306366,0.5359520887592494
COST_0006,cost_sensitive,4,PI-NSGA-III,0.0018151465428270094,0.985954433775286
COST_0006,cost_sensitive,4,canonical-NSGA-III,0.0017479933347490351,0.9494780382421772
COST_0006,cost_sensitive,4,NSGA-II,0.0018382058834441864,0.9984798462337373
COST_0007,cost_sensitive,0,PI-NSGA-III,10.49713400954176,0.6338496906057682
COST_0007,cost_sensitive,0,canonical-NSGA-III,9.985445092429098,0.6029523179035196
COST_0007,cost_sensitive,0,NSGA-II,10.417776387241467,0.6290578298658246
COST_0007,cost_sensitive,1,PI-NSGA-III,7.472877367478445,0.4512356423196539
COST_0007,cost_sensitive,1,canonical-NSGA-III,7.66956116201699,0.4631120232634528
COST_0007,cost_sensitive,1,NSGA-II,8.225502173946449,0.49668147546690505
COST_0007,cost_sensitive,3,PI-NSGA-III,13.044548694074308,0.7876705342920376
COST_0007,cost_sensitive,3,canonical-NSGA-III,12.292078045125164,0.7422340096565713
COST_0007,cost_sensitive,3,NSGA-II,12.865175752832178,0.7768394366604343
COST_0007,cost_sensitive,2,PI-NSGA-III,0.0003348789684771866,2.0221036557854673e-05
COST_0007,cost_sensitive,2,canonical-NSGA-III,0.00030958196369865925,1.869352451146686e-05
COST_0007,cost_sensitive,2,NSGA-II,0.00032478767395227647,1.9611692721088203e-05
COST_0007,cost_sensitive,4,PI-NSGA-III,16.538182235236928,0.99862702366742
COST_0007,cost_sensitive,4,canonical-NSGA-III,16.02165520334389,0.9674375105053212
COST_0007,cost_sensitive,4,NSGA-II,16.56091998642404,1.0
COST_0008,cost_sensitive,0,PI-NSGA-III,0.0002265650805769868,0.9853191945843414
COST_0008,cost_sensitive,0,canonical-NSGA-III,0.00022206850794721656,0.9657638451427061
COST_0008,cost_sensitive,0,NSGA-II,0.00022994079667002093,1.0
COST_0008,cost_sensitive,1,PI-NSGA-III,9.780249172880056e-05,0.4253377092937236
