archetype,trip_distance_bin,algorithm,mean_norm_hv,median_norm_hv,std_norm_hv,n_runs,plan
cost_sensitive,long,nsga2,0.9799789325851636,0.9817463454237796,0.006935714736738338,30,representative_curves_10profiles
cost_sensitive,long,nsga3,0.9971076499536954,0.997358187001162,0.0018334079526591272,30,representative_curves_10profiles
cost_sensitive,medium,nsga2,0.9726932268773961,0.9742045400053398,0.019559425444963727,60,representative_curves_10profiles
cost_sensitive,medium,nsga3,0.9938355052685305,0.9950899336461632,0.004728175576067601,60,representative_curves_10profiles
eco_conscious,long,nsga2,0.965245903377095,0.9647650418162927,0.006394969607259663,30,representative_curves_10profiles
eco_conscious,long,nsga3,0.9950759363943906,0.9956484500064982,0.0033760331960073745,30,representative_curves_10profiles
eco_conscious,medium,nsga2,0.9704378264879201,0.9727774106286218,0.012159404878770921,30,representative_curves_10profiles
eco_conscious,medium,nsga3,0.9908062976589814,0.9922189613847965,0.006065447259043193,30,representative_curves_10profiles
time_sensitive,long,nsga2,0.981526678740536,0.9820817057490925,0.0059660131677922775,30,representative_curves_10profiles
time_sensitive,long,nsga3,0.9930607792847237,0.9932510468857584,0.003132603595681257,30,representative_curves_10profiles
time_sensitive,medium,nsga2,0.9673554755755316,0.9704017734453386,0.0153513252364264,60,representative_curves_10profiles
time_sensitive,medium,nsga3,0.9905879183775298,0.9918353122211923,0.006368234440050297,60,representative_curves_10profiles
