generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
72,5650.289904846081,,0.06890135124477276,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
73,5630.235638316053,,0.06661583299852357,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
74,5647.436218897007,,0.07059832218205994,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
75,5646.69228567256,,0.06279117198288028,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
76,5632.529903199992,,0.06760790497060544,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
77,5642.549958994884,,0.06877791784349475,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
78,5635.76121764601,,0.0648775845479392,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
79,5636.1360220167235,,0.06946304422405777,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
80,5642.443432328351,,0.06363069129990359,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
81,5635.210933693609,,0.06563449071131477,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
82,5636.080767742394,,0.06582543033478173,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
83,5642.942647956696,,0.06989947678144535,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
84,5658.211854904187,,0.06616327084613689,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
85,5658.641162099837,,0.07268099289620036,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
86,5657.625296942149,,0.06211297071500968,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
87,5646.355016279275,,0.06678281445138985,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
88,5656.246177629563,,0.07191370908419654,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
89,5643.621051478232,,0.05941617252957521,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
90,5639.7584018307325,,0.0705943354159477,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
91,5639.968541548116,,0.06733190981346403,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
92,5638.520327909549,,0.06614571497721673,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
93,5656.358406213585,,0.07000083743675355,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
94,5658.292960690006,,0.07503892329142758,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
95,5658.214531967022,,0.07588175024795533,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
96,5662.045314011627,,0.07869669571104787,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
97,5637.294383523362,,0.07540786119324343,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
98,5640.103921083968,,0.07422143477516147,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
99,5639.989867021678,,0.06878055458884712,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
100,5640.362576106209,,0.06936504719962465,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
101,5640.57156731562,,0.06911852004262135,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
102,5658.283735417709,,0.06663836181122805,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
103,5641.417620044647,,0.07486537926788825,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
104,5641.403764572578,,0.07098874728622061,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
105,5642.878608683211,,0.07196645049886806,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
106,5650.056871763818,,0.056679910815168544,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
107,5650.963904743608,,0.06177189081143829,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
108,5658.294456633329,,0.0756109581521128,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
109,5656.812597774364,,0.08037176072317533,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
110,5656.473525922308,,0.07590368459257801,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
111,5656.01118729416,,0.07460370253994568,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
112,5658.6968980532465,,0.07335235856000855,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
113,5652.858485513007,,0.05741530637651531,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
114,5652.07359107762,,0.06917940064556517,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
115,5652.91372543631,,0.06736800083409254,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
116,5649.042422974001,,0.06729822750424527,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
117,5664.4596138476245,,0.058702351834489706,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
118,5651.710559142192,,0.07309921864511595,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
119,5640.951658237168,,0.07098052063221993,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
120,5639.432426169885,,0.06310388874477794,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
121,5653.455944116698,,0.07094918831006354,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
122,5653.159230109622,,0.06865847965458449,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
123,5651.266204219565,,0.07470809869077234,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
124,5650.514614833552,,0.06276441771291123,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
125,5653.987120727828,,0.06418539618717005,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
126,5654.899823867532,,0.06974567284550828,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
127,5652.897038762839,,0.06923327622412943,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
128,5653.289011295581,,0.0689217267510063,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
