generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
86,6553.225062801766,,0.10203612645986761,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
87,6552.596411680088,,0.09413374571892139,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
88,6556.0378882968735,,0.09656383066311222,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
89,6553.691928456725,,0.08020672153312054,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
90,6554.267629659133,,0.08123783164595372,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
91,6555.876390514981,,0.10030318577056224,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
92,6553.92862033401,,0.09466700411212264,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
93,6554.060941509764,,0.0940550575154586,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
94,6555.676763422967,,0.10519487380081069,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
95,6554.92468816391,,0.1017526300174267,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
96,6554.6383443926925,,0.09906083945280272,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
97,6553.484574424028,,0.10110966974922438,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
98,6553.2151569750695,,0.10103228317325066,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
99,6553.11478229139,,0.0850112553505139,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
100,6550.118750078103,,0.08243950356609384,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
101,6551.433793238661,,0.07035708132944513,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
102,6552.299080001567,,0.0805985612937942,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
103,6553.209973249175,,0.07756508023987099,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
104,6551.717642633127,,0.08190454446515609,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
105,6554.351426018429,,0.08217856106098823,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
106,6554.638444039892,,0.09290274672830484,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
107,6553.70850478981,,0.10977610584357736,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
108,6552.425125070067,,0.08917288439143987,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
109,6553.500771630543,,0.0769847485857533,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
110,6550.424257937329,,0.0683731184454049,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
111,6551.778221486303,,0.0709029881652724,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
112,6552.9096306436195,,0.07839275932912344,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
113,6553.525083797333,,0.07292136283385585,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
114,6553.539566337723,,0.07466369434758138,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
115,6553.84355364918,,0.07370432779073785,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
116,6555.043751680652,,0.07609165727437438,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
117,6554.383018750768,,0.07273691168928276,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
118,6554.143423278607,,0.08710357618765685,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
119,6551.167130579064,,0.066841576064551,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
120,6551.323991045371,,0.07292213745620924,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
121,6550.973028021326,,0.09852213051630695,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
122,6551.608923752241,,0.09674076714526592,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
123,6550.696768350259,,0.09652300104107117,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
124,6551.907562330467,,0.08664573335391328,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
125,6550.712962624818,,0.0731053292583991,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
126,6549.84119010245,,0.07106121218459258,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
127,6551.387527592004,,0.07994644656820614,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
