generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
113,,,0.1071778414456738,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
114,,,0.19569716075820712,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
115,,,0.18428114003237167,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
116,,,0.24195476078720848,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
117,,,0.24526944233679662,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
118,,,0.25474387235742035,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
119,,,0.1906360378438906,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
120,,,0.25469399765517986,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
121,,,0.14798639543078815,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
122,,,0.24902563070822062,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
123,,,0.2592664605499469,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
124,,,0.25533369655089166,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
125,,,0.25235466179315447,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
126,,,0.2578041605043649,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
127,,,0.2692306125655588,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
128,,,0.2651347576084643,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
129,,,0.2576174028342697,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
130,,,0.2579901677427853,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
131,,,0.2552867169749134,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
132,,,0.25492005838629167,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
133,,,0.24674931014853616,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
134,,,0.24506298520703135,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
135,,,0.24504294035251084,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
136,,,0.24023544150962398,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
137,,,0.13668104279457102,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
138,,,0.12936943996759054,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
139,,,0.19563075857390141,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
140,,,0.24230109246411732,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
141,,,0.24854984422227888,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
142,,,0.25520340104740047,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
143,,,0.2529702384007079,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
144,,,0.14192792297660556,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
145,,,0.14037924791239384,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
146,,,0.13221259530741433,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
147,,,0.2599960021119394,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
148,,,0.2540441438886246,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
149,,,0.2524427026882334,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
150,,,0.10738723491011747,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
