profile_id,n_pairs,mean_diff_N3_minus_N2,std_diff,paired_dz,wilcoxon_p,winner
STU_0508,30,0.020246143271228683,0.014161310872470488,1.429680024226223,1.30385160446167e-07,NSGA-III
STU_0560,30,0.007879422207758502,0.005498497199738129,1.4330137711325501,3.855675458908081e-07,NSGA-III
STU_0274,30,0.007323256845022038,0.005108272234957081,1.4336073936912186,2.60770320892334e-08,NSGA-III
STU_0395,30,0.02924239840536629,0.01901364297450037,1.5379692594724712,1.862645149230957e-09,NSGA-III
STU_0548,30,0.0266730663378494,0.01710765198073091,1.559130754348547,5.587935447692871e-09,NSGA-III
STU_0304,30,0.011866366508688402,0.007537660400898666,1.5742771466957644,1.862645149230957e-09,NSGA-III
STU_0740,30,0.027438542324946417,0.01730576372833641,1.585514673358138,1.862645149230957e-09,NSGA-III
STU_0569,30,0.012840126074859227,0.008062737363394436,1.592526892064545,1.862645149230957e-09,NSGA-III
STU_0134,30,0.03256076395353604,0.020087771940777266,1.6209246127211931,9.313225746154785e-09,NSGA-III
STU_0356,30,0.006877869472840503,0.004230516025905594,1.6257755391360822,1.862645149230957e-09,NSGA-III
STU_0716,30,0.00900424875350182,0.005516919952674364,1.6321151712808428,1.862645149230957e-09,NSGA-III
STU_0059,30,0.010510415324092045,0.006404595669621598,1.641073982850354,1.862645149230957e-09,NSGA-III
STU_0260,30,0.02909535902482904,0.017666186417220387,1.6469518852392437,1.30385160446167e-08,NSGA-III
STU_0472,30,0.011368148782597865,0.006898986358947946,1.647799863794982,1.862645149230957e-09,NSGA-III
STU_0573,30,0.013857260210527033,0.00834513108848686,1.6605203757248146,5.587935447692871e-09,NSGA-III
STU_0444,30,0.013675414086920705,0.008203661614017352,1.6669890507860456,9.313225746154785e-09,NSGA-III
STU_0383,30,0.017459278713368654,0.010438996895547805,1.672505403351061,1.862645149230957e-08,NSGA-III
STU_0118,30,0.012564594835601513,0.0074832333806253044,1.6790328720913963,3.725290298461914e-09,NSGA-III
STU_0054,30,0.01029903523813538,0.005913735367062896,1.741544827233363,3.725290298461914e-09,NSGA-III
STU_0544,30,0.016643334867440747,0.009504157223536992,1.7511636724846704,3.725290298461914e-09,NSGA-III
STU_0069,30,0.012297707174501816,0.00699705231003438,1.7575554147088248,5.587935447692871e-09,NSGA-III
STU_0072,30,0.037682468630167595,0.02100034772558877,1.7943735562174423,1.862645149230957e-09,NSGA-III
STU_0034,30,0.017890312996114977,0.009867511888504205,1.8130520842804814,5.587935447692871e-09,NSGA-III
STU_0225,30,0.022876790420532662,0.012616986040729052,1.8131739503145843,1.862645149230957e-09,NSGA-III
STU_0485,30,0.017516824817803235,0.009212575525161054,1.901403659591383,1.862645149230957e-09,NSGA-III
STU_0390,30,0.02769492485099645,0.014435346548222615,1.9185493578889141,1.862645149230957e-09,NSGA-III
STU_0460,30,0.011783920976105549,0.006031786082884137,1.9536370843030613,1.862645149230957e-09,NSGA-III
STU_0033,30,0.024019951389851555,0.012238677580593818,1.9626263729619482,1.862645149230957e-09,NSGA-III
STU_0497,30,0.017816672463217435,0.009023288174090188,1.974521052577807,1.862645149230957e-09,NSGA-III
STU_0197,30,0.030570585454270303,0.015455474195082645,1.9779778393338927,1.862645149230957e-09,NSGA-III
STU_0093,30,0.017349303717339046,0.00876655460309056,1.9790333264134037,1.862645149230957e-09,NSGA-III
STU_0297,30,0.02251706265687727,0.011265072402242997,1.9988386983108852,1.862645149230957e-09,NSGA-III
STU_0582,30,0.02363162532795459,0.011710718649863063,2.017948345828539,1.862645149230957e-09,NSGA-III
STU_0368,30,0.028937462700669173,0.014265668097394137,2.0284688037817933,3.725290298461914e-09,NSGA-III
STU_0379,30,0.012431982563392311,0.006126646784598979,2.0291658717201613,1.862645149230957e-09,NSGA-III
STU_0571,30,0.017481267478600175,0.008589312244750286,2.035234833765017,1.862645149230957e-09,NSGA-III
STU_0289,30,0.008367669690928219,0.004068539727175147,2.0566764126789114,1.862645149230957e-09,NSGA-III
STU_0127,30,0.031524487196881015,0.01529849605117357,2.0606265538410704,1.862645149230957e-09,NSGA-III
STU_0469,30,0.01420973037206118,0.006683540766872968,2.1260782073017106,3.725290298461914e-09,NSGA-III
STU_0081,30,0.01986776491264631,0.009326988846803693,2.1301370934366326,1.862645149230957e-09,NSGA-III
STU_0354,30,0.024167412517259016,0.0113404234576434,2.1310855461019207,1.862645149230957e-09,NSGA-III
STU_0325,30,0.02069389591502595,0.009701465144784637,2.1330691401958686,1.862645149230957e-09,NSGA-III
