plan,profile_id,algo_a,algo_b,n,mean_diff,cohen_dz_per_profile
main_nsga2_vs_nsga3_150profiles,STU_0495,nsga2,nsga3,30,-0.02873724843039565,-3.898416477948384
main_nsga2_vs_nsga3_150profiles,STU_0497,nsga2,nsga3,30,-0.017816672463217435,-1.974521052577807
main_nsga2_vs_nsga3_150profiles,STU_0502,nsga2,nsga3,30,-0.019747239787154442,-2.3448619905081376
main_nsga2_vs_nsga3_150profiles,STU_0508,nsga2,nsga3,30,-0.020246143271228683,-1.429680024226223
main_nsga2_vs_nsga3_150profiles,STU_0510,nsga2,nsga3,30,-0.006354352419339304,-1.082699716177028
main_nsga2_vs_nsga3_150profiles,STU_0515,nsga2,nsga3,30,-0.021119865105326426,-2.184458131775968
main_nsga2_vs_nsga3_150profiles,STU_0521,nsga2,nsga3,30,-0.04920938853718866,-4.9432126042474644
main_nsga2_vs_nsga3_150profiles,STU_0522,nsga2,nsga3,30,-0.007145620688685165,-0.7016572236976041
main_nsga2_vs_nsga3_150profiles,STU_0529,nsga2,nsga3,30,0.0016212944087413029,0.3121242355635776
main_nsga2_vs_nsga3_150profiles,STU_0537,nsga2,nsga3,30,-0.07953730461342103,-2.234568331650988
main_nsga2_vs_nsga3_150profiles,STU_0541,nsga2,nsga3,30,-0.0060547189979518285,-1.1413930346450216
main_nsga2_vs_nsga3_150profiles,STU_0544,nsga2,nsga3,30,-0.016643334867440747,-1.7511636724846704
main_nsga2_vs_nsga3_150profiles,STU_0548,nsga2,nsga3,30,-0.0266730663378494,-1.559130754348547
main_nsga2_vs_nsga3_150profiles,STU_0560,nsga2,nsga3,30,-0.007879422207758502,-1.4330137711325501
main_nsga2_vs_nsga3_150profiles,STU_0569,nsga2,nsga3,30,-0.012840126074859227,-1.592526892064545
main_nsga2_vs_nsga3_150profiles,STU_0571,nsga2,nsga3,30,-0.017481267478600175,-2.035234833765017
main_nsga2_vs_nsga3_150profiles,STU_0573,nsga2,nsga3,30,-0.013857260210527033,-1.6605203757248146
main_nsga2_vs_nsga3_150profiles,STU_0574,nsga2,nsga3,30,-0.01313480349175045,-1.161003016284584
main_nsga2_vs_nsga3_150profiles,STU_0576,nsga2,nsga3,30,-0.00422839875039277,-1.3146050360784904
main_nsga2_vs_nsga3_150profiles,STU_0577,nsga2,nsga3,30,-0.015491972846919999,-1.1555704048222286
main_nsga2_vs_nsga3_150profiles,STU_0582,nsga2,nsga3,30,-0.02363162532795459,-2.017948345828539
main_nsga2_vs_nsga3_150profiles,STU_0597,nsga2,nsga3,30,-0.003160612353330435,-0.4179860093536947
main_nsga2_vs_nsga3_150profiles,STU_0598,nsga2,nsga3,30,-0.024206325886174197,-2.278723167965196
main_nsga2_vs_nsga3_150profiles,STU_0600,nsga2,nsga3,30,-0.006012202564018495,-1.1819539853388468
main_nsga2_vs_nsga3_150profiles,STU_0602,nsga2,nsga3,30,-0.01720812148213778,-2.4930791215408146
main_nsga2_vs_nsga3_150profiles,STU_0617,nsga2,nsga3,30,-0.016136739189524036,-2.4710399909903997
main_nsga2_vs_nsga3_150profiles,STU_0618,nsga2,nsga3,30,0.002536781797732938,0.48231554208961136
main_nsga2_vs_nsga3_150profiles,STU_0630,nsga2,nsga3,30,-0.03780389577033169,-2.791805929322097
main_nsga2_vs_nsga3_150profiles,STU_0632,nsga2,nsga3,30,-0.01614422785506716,-2.407394502149978
main_nsga2_vs_nsga3_150profiles,STU_0642,nsga2,nsga3,30,-0.005756527188993743,-1.0993489080477667
main_nsga2_vs_nsga3_150profiles,STU_0647,nsga2,nsga3,30,-0.0015490078188813686,-0.2537136481276531
main_nsga2_vs_nsga3_150profiles,STU_0649,nsga2,nsga3,30,-0.033334656871197826,-3.1092793188154015
main_nsga2_vs_nsga3_150profiles,STU_0660,nsga2,nsga3,30,-0.011976767846877475,-1.2645763231722058
main_nsga2_vs_nsga3_150profiles,STU_0668,nsga2,nsga3,30,-0.04600669916423198,-4.624441240771303
main_nsga2_vs_nsga3_150profiles,STU_0678,nsga2,nsga3,30,-0.007166738979694691,-1.3987583467643574
main_nsga2_vs_nsga3_150profiles,STU_0710,nsga2,nsga3,30,-0.024469681138819345,-2.881228956823251
main_nsga2_vs_nsga3_150profiles,STU_0714,nsga2,nsga3,30,-0.0026164204556615427,-0.31392024436744936
main_nsga2_vs_nsga3_150profiles,STU_0716,nsga2,nsga3,30,-0.00900424875350182,-1.6321151712808428
main_nsga2_vs_nsga3_150profiles,STU_0720,nsga2,nsga3,30,-0.02454586899519085,-2.1552581966024937
